,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
5171,ts308838,Bad Sport,SHOW,2021,TV-MA,68,sport,Not Available,1.0,tt15402912,7.3,2151.0,3.382,7.3
5174,ts349845,Mr. Good: Cop or Crook?,SHOW,2022,TV-14,51,documentation,NO,1.0,tt20113404,6.9,369.0,2.821,5.4
5177,ts349842,Rhythm + Flow France,SHOW,2022,TV-MA,42,reality,FR,1.0,tt20192132,6.3,92.0,11.242,8.5
5182,ts317422,Saturday Morning All Star Hits!,SHOW,2021,TV-14,23,comedy,US,1.0,tt15977708,7.5,948.0,2.598,6.3
5186,ts287328,Yasuke,SHOW,2021,TV-MA,29,thriller,US,1.0,tt9310330,6.2,5150.0,8.838,7.81
5187,ts302489,Chicago Party Aunt,SHOW,2021,TV-MA,23,comedy,US,1.0,tt15125616,5.3,1488.0,4.25,6.5
5188,ts304468,Thirty-Nine,SHOW,2022,TV-MA,73,drama,KR,1.0,tt15309342,7.9,150.0,6.647,9.4
5189,ts108621,Sky Rojo,SHOW,2021,TV-MA,27,thriller,ES,3.0,tt8690776,6.5,8706.0,39.825,7.7
5190,ts307745,Money Heist: From Tokyo to Berlin,SHOW,2021,TV-MA,53,documentation,ES,2.0,tt15384346,7.7,890.0,712.899,7.391
5194,ts269493,Headspace Guide to Meditation,SHOW,2021,TV-G,22,animation,US,1.0,tt13617024,8.4,1568.0,4.774,7.7
5196,ts287703,Mine,SHOW,2021,TV-14,70,thriller,KR,1.0,tt14023192,7.7,1169.0,11.801,7.5
5197,ts310376,"Sex, Love & Goop",SHOW,2021,TV-MA,35,comedy,US,1.0,tt15470160,4.7,768.0,5.597,5.9
5198,ts317612,Love is Blind: Japan,SHOW,2022,TV-PG,57,romance,JP,2.0,tt15943826,7.1,535.0,2.581,7.5
5200,ts282291,Generation 56K,SHOW,2021,TV-14,30,romance,IT,1.0,tt13524842,7.4,2427.0,5.375,7.3
5202,ts258415,Elves,SHOW,2021,TV-14,24,fantasy,DK,1.0,tt13231962,5.5,4165.0,45.71,7.0
5204,ts297675,Sexy Beasts,SHOW,2021,TV-14,23,reality,Not Available,2.0,tt14916746,4.6,1133.0,36.721,5.9
5207,ts310335,Insiders,SHOW,2021,TV-MA,46,reality,ES,2.0,tt15436028,4.2,742.0,4.397,6.9
5208,ts301196,Top Secret UFO Projects: Declassified,SHOW,2021,TV-PG,44,documentation,GB,1.0,tt14992232,5.5,1426.0,22.071,7.3
5209,ts250998,Dirty Lines,SHOW,2022,TV-MA,46,drama,NL,1.0,tt14859224,7.4,1840.0,5.758,8.3
5211,ts320426,Crime Scene: The Times Square Killer,SHOW,2021,TV-MA,49,thriller,US,1.0,tt16027926,6.5,3974.0,5.848,7.125
