,id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
387,tm53999,Open Season 2,MOVIE,2008,PG,76,comedy,US,,,,18.558,5.8
388,tm164557,Initial D,MOVIE,2005,Not Available,107,drama,JP,tt5320634,6.3,8678.0,18.607,6.7
389,tm80059,Naruto Shippuden the Movie,MOVIE,2007,PG-13,94,fantasy,JP,tt0988982,6.7,4090.0,316.471,7.2
390,tm135451,Gifted Hands: The Ben Carson Story,MOVIE,2009,Not Available,86,drama,US,tt1295085,7.6,10881.0,43.409,7.8
391,tm71558,The Legend of the Nahuala,MOVIE,2007,PG,80,animation,MX,tt1003009,6.1,511.0,47.66,7.6
392,tm134235,One Piece: Strong World,MOVIE,2009,PG-13,114,action,JP,tt1485763,7.5,5467.0,39.946,7.5
393,tm160800,Chaos,MOVIE,2005,R,106,action,GB,tt0402910,6.4,54900.0,17.029,6.3
394,tm22342,Waist Deep,MOVIE,2006,R,97,crime,US,tt0456020,5.8,9990.0,15.58,6.6
396,tm22636,Trailer Park Boys: The Movie,MOVIE,2006,R,95,comedy,CA,tt0425601,7.1,12910.0,6.191,6.7
398,tm85549,Tito,MOVIE,2004,Not Available,120,action,EG,tt0417202,7.2,3214.0,1.814,7.8
399,tm100688,Even the Rain,MOVIE,2010,Not Available,104,drama,MX,tt1422032,7.4,13533.0,8.526,6.9
400,tm22493,Katt Williams: The Pimp Chronicles Pt. 1,MOVIE,2006,Not Available,46,documentation,US,tt0865482,7.6,1819.0,3.787,6.5
402,tm103732,Udaan,MOVIE,2010,R,138,drama,IN,tt1639426,8.1,44862.0,5.019,7.3
403,tm73058,Om Shanti Om,MOVIE,2007,PG,162,action,IN,tt1423972,6.7,43052.0,11.847,7.021
404,tm138497,Trailer Park Boys: Countdown to Liquor Day,MOVIE,2009,R,102,comedy,CA,tt1337032,7.3,7488.0,4.683,6.8
406,tm36475,Kabhi Khushi Kabhie Gham,MOVIE,2001,G,210,drama,IN,tt0248126,7.4,49273.0,13.699,7.9
407,tm144345,Kal Ho Naa Ho,MOVIE,2003,PG,186,drama,IN,tt0347304,7.9,68551.0,12.001,7.5
408,tm76835,Jab We Met,MOVIE,2007,PG-13,144,romance,IN,tt1093370,7.9,52531.0,8.69,7.4
409,tm38896,From Within,MOVIE,2008,R,89,documentation,US,tt1673402,5.6,7650.0,7.282,5.6
410,tm86051,Black Friday,MOVIE,2004,R,161,crime,IN,tt0400234,8.4,20768.0,5.753,7.4
412,tm29269,Jodhaa Akbar,MOVIE,2008,PG-13,214,action,IN,tt0449994,7.5,32440.0,11.959,7.4
414,tm91046,"Cairo 6,7,8",MOVIE,2010,Not Available,100,drama,EG,tt1764141,7.4,4421.0,4.431,7.7
415,tm75022,Zach Galifianakis: Live at the Purple Onion,MOVIE,2007,Not Available,61,comedy,US,tt0804558,7.2,3977.0,4.43,7.0
416,tm41508,First Sunday,MOVIE,2008,PG-13,96,comedy,US,tt0486578,4.5,10927.0,8.809,5.6
418,tm49405,Inuyasha the Movie: Affections Touching Across Time,MOVIE,2001,PG-13,99,fantasy,JP,tt0322645,7.2,2593.0,36.262,7.6
419,tm82765,Swades,MOVIE,2004,G,189,drama,IN,tt0367110,8.1,89556.0,10.352,7.4
420,tm33981,Bon Cop Bad Cop,MOVIE,2006,PG-13,116,drama,CA,tt0443521,6.5,61.0,7.956,6.4
422,tm95238,The Boy Who Cried Werewolf,MOVIE,2010,G,97,fantasy,CA,tt1451423,5.9,3315.0,17.774,6.4
423,tm32885,Rang De Basanti,MOVIE,2006,PG-13,157,history,IN,tt0405508,8.1,118477.0,6.848,7.2
428,tm72587,Guru,MOVIE,2007,PG-13,166,documentation,IN,tt0499375,7.7,23708.0,8.071,6.7
429,tm99776,Whitney Cummings: Money Shot,MOVIE,2010,Not Available,48,comedy,US,tt1659261,6.2,917.0,2.718,5.9
430,tm83175,Welcome,MOVIE,2007,Not Available,160,comedy,IN,tt0488798,7.0,22243.0,8.815,6.5
431,tm139349,Jim Gaffigan: King Baby,MOVIE,2009,Not Available,72,comedy,US,tt1390471,7.7,2564.0,4.283,7.0
432,tm59880,Mike Birbiglia: What I Should Have Said Was Nothing,MOVIE,2008,Not Available,60,comedy,US,tt1188112,7.6,1794.0,3.826,7.5
434,tm61056,Dil Chahta Hai,MOVIE,2001,G,184,comedy,IN,tt0292490,8.1,71586.0,5.704,7.0
435,tm129763,Anbe Sivam,MOVIE,2003,Not Available,160,comedy,IN,tt0367495,8.7,21167.0,4.634,7.5
437,tm44378,Tony Manero,MOVIE,2008,Not Available,97,drama,CL,tt1223975,6.8,4255.0,3.891,6.3
438,tm25842,A Lion in the House,MOVIE,2006,Not Available,225,documentation,US,tt0492472,8.7,324.0,2.821,6.5
439,tm34846,Bleach the Movie: Fade to Black,MOVIE,2008,PG-13,94,action,JP,tt1339302,7.1,2207.0,40.732,7.0
440,tm71119,Delta Farce,MOVIE,2007,PG-13,90,action,US,tt0800003,3.6,11177.0,10.367,5.0
441,tm170873,My Suicide,MOVIE,2009,R,110,comedy,US,tt0492896,7.0,1981.0,2.951,6.1
442,tm22540,Phir Hera Pheri,MOVIE,2006,Not Available,155,crime,IN,tt0419058,7.1,23119.0,8.428,6.4
443,tm96037,Naruto Shippuden the Movie: The Lost Tower,MOVIE,2010,PG-13,85,action,JP,tt1703048,6.8,3650.0,97.631,7.0
444,tm110923,Divine Intervention,MOVIE,2002,Not Available,92,romance,FR,tt0274428,6.6,3598.0,2.894,6.4
445,tm168869,Da Kath & Kim Code,MOVIE,2005,Not Available,90,comedy,AU,tt0484275,7.3,928.0,1.366,6.4
447,tm147686,Kevin Hart: I'm a Grown Little Man,MOVIE,2009,R,73,documentation,US,tt1420554,7.5,4411.0,6.236,7.3
448,tm93612,Bleach the Movie: Hell Verse,MOVIE,2010,PG-13,94,action,JP,tt1785394,7.4,2416.0,53.143,7.4
449,tm36164,Naruto Shippuden the Movie: Bonds,MOVIE,2008,PG-13,90,fantasy,JP,tt1160524,6.8,4551.0,109.752,7.2
450,tm30170,Don,MOVIE,2006,PG-13,167,thriller,IN,tt0461936,7.1,37131.0,8.892,7.1
451,tm29731,Chup Chup Ke,MOVIE,2006,G,165,romance,IN,tt0464160,6.9,10810.0,3.942,6.1
452,tm147494,Naruto Shippuden the Movie: The Will of Fire,MOVIE,2009,PG-13,95,action,JP,tt1481363,7.0,3702.0,101.203,7.3
453,tm44530,Fashion,MOVIE,2008,PG-13,167,drama,IN,tt0964516,6.9,12533.0,7.048,6.3
454,tm89936,Arahan,MOVIE,2004,Not Available,114,fantasy,KR,tt0404777,6.6,3841.0,12.181,6.6
457,tm81461,Whisky,MOVIE,2004,Not Available,99,comedy,UY,tt0331370,7.1,6293.0,5.108,6.8
458,tm155761,Ajab Prem Ki Ghazab Kahani,MOVIE,2009,PG,150,romance,IN,tt1252596,6.3,14603.0,6.675,6.1
459,tm48083,Te quiero,MOVIE,2001,Not Available,85,comedy,FR,tt0217085,5.0,75.0,0.967,2.0
460,tm84348,Doing Hard Time,MOVIE,2004,R,95,action,US,,,,7.867,5.3
461,tm175687,Sir! No Sir!,MOVIE,2005,Not Available,85,war,US,tt0469589,7.6,783.0,2.089,7.0
462,tm33067,Race,MOVIE,2008,PG-13,161,drama,IN,tt1017456,7.0,63.0,5.732,6.1
463,tm70222,Sivaji: The Boss,MOVIE,2007,PG-13,189,drama,IN,tt0479751,7.5,19777.0,7.686,7.1
464,tm105278,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,MOVIE,2002,PG-13,100,fantasy,JP,tt0366621,7.3,2148.0,30.957,7.6
465,tm352243,Interview with a Serial Killer,MOVIE,2008,PG-13,44,crime,US,tt6978288,5.9,611.0,1.378,5.1
467,tm82718,G.O.R.A.,MOVIE,2004,PG-13,127,action,TR,tt0384116,8.0,62386.0,7.047,7.2
468,tm98975,Guzaarish,MOVIE,2010,PG,126,romance,IN,tt1438298,7.4,18603.0,5.554,7.4
470,tm101609,Raajneeti,MOVIE,2010,PG,167,crime,IN,tt1291465,7.1,17697.0,3.761,6.3
471,tm418157,Monty Python Conquers America,MOVIE,2008,Not Available,55,documentation,Not Available,tt19880958,,,2.177,6.5
472,tm39557,Jaane Tu... Ya Jaane Na,MOVIE,2008,Not Available,146,romance,IN,tt0473367,7.4,26894.0,7.196,6.8
